Neuron_1,Neuron_2,Neuron_3,Neuron_4,
0.01,0.01,0.01,0.01,
0.02,0.02,0.02,0.02,
0.03,0.03,0.03,0.03,
0.04,0.04,0.04,0.04,
0.04,0.04,0.04,0.04,
0.05,0.05,0.05,0.05,
0.06,0.06,0.06,0.06,
0.02,0.03,0.07,0.07,
0.03,0.03,0.07,0.07,
0.03,0.04,0.08,0.08,
0.04,0.05,0.09,0.09,
0.05,0.05,0.09,0.10,
0.05,0.06,0.10,0.10,
0.06,0.07,0.11,0.11,
0.07,0.07,0.11,0.12,
0.07,0.08,0.12,0.12,
0.08,0.08,0.12,0.13,
0.09,0.09,0.13,0.14,
0.09,0.09,0.14,0.14,
0.10,0.10,0.14,0.15,
0.10,0.10,0.14,0.15,
0.11,0.11,0.15,0.16,
0.11,0.11,0.15,0.16,
0.12,0.11,0.16,0.17,
0.12,0.12,0.16,0.17,
0.12,0.12,0.16,0.18,
0.13,0.13,0.17,0.18,
0.13,0.13,0.17,0.18,
0.14,0.13,0.18,0.19,
0.14,0.13,0.18,0.19,
0.14,0.14,0.18,0.20,
0.15,0.14,0.18,0.20,
0.15,0.14,0.19,0.20,
0.15,0.15,0.19,0.21,
0.16,0.15,0.19,0.21,
0.16,0.15,0.19,0.21,
0.16,0.15,0.20,0.21,
0.17,0.15,0.20,0.22,
0.17,0.16,0.20,0.22,
0.17,0.16,0.20,0.22,
0.17,0.16,0.20,0.22,
0.18,0.16,0.21,0.23,
0.18,0.16,0.21,0.23,
0.18,0.16,0.21,0.23,
0.18,0.17,0.21,0.23,
0.19,0.17,0.21,0.24,
0.19,0.17,0.21,0.24,
0.19,0.17,0.21,0.24,
0.19,0.17,0.21,0.24,
0.19,0.17,0.22,0.24,
0.20,0.17,0.22,0.25,
0.20,0.17,0.22,0.25,
0.20,0.18,0.22,0.25,
0.20,0.18,0.22,0.25,
0.20,0.18,0.22,0.25,
0.20,0.18,0.22,0.25,
0.21,0.18,0.22,0.25,
0.21,0.18,0.22,0.26,
0.21,0.18,0.22,0.26,
0.21,0.18,0.22,0.26,
0.21,0.18,0.22,0.26,
0.21,0.18,0.22,0.26,
0.22,0.18,0.22,0.26,
0.22,0.18,0.22,0.26,
0.22,0.18,0.22,0.26,
0.22,0.19,0.22,0.26,
0.22,0.19,0.22,0.26,
0.22,0.19,0.22,0.26,
0.22,0.19,0.22,0.27,
0.22,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.23,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.24,0.19,0.22,0.27,
0.25,0.19,0.22,0.27,
0.25,0.19,0.22,0.27,
0.25,0.19,0.22,0.27,
0.25,0.19,0.22,0.27,
0.25,0.19,0.21,0.27,
0.25,0.19,0.21,0.27,
0.25,0.19,0.21,0.27,
0.25,0.19,0.21,0.27,
0.25,0.20,0.21,0.27,
0.25,0.20,0.21,0.27,
0.25,0.20,0.21,0.27,
0.25,0.20,0.21,0.27,
0.25,0.20,0.21,0.27,
0.25,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.21,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.27,
0.26,0.20,0.20,0.26,
0.26,0.20,0.20,0.26,
0.26,0.20,0.20,0.26,
0.27,0.20,0.20,0.26,
0.27,0.20,0.20,0.26,
0.27,0.20,0.20,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.20,0.19,0.26,
0.27,0.21,0.19,0.26,
0.27,0.21,0.19,0.26,
0.27,0.21,0.19,0.25,
0.27,0.21,0.19,0.25,
0.27,0.21,0.19,0.25,
0.27,0.21,0.19,0.25,
0.27,0.21,0.19,0.25,
0.27,0.21,0.19,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.25,
0.27,0.21,0.18,0.24,
0.27,0.21,0.18,0.24,
0.28,0.21,0.18,0.24,
0.28,0.21,0.18,0.24,
0.28,0.21,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.24,
0.28,0.22,0.18,0.23,
0.28,0.22,0.18,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.22,0.17,0.23,
0.28,0.23,0.17,0.23,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.22,
0.28,0.23,0.17,0.21,
0.28,0.23,0.17,0.21,
0.28,0.23,0.17,0.21,
0.28,0.24,0.17,0.21,
0.28,0.24,0.17,0.21,
0.28,0.24,0.17,0.21,
0.28,0.24,0.17,0.21,
0.28,0.24,0.17,0.21,
0.28,0.24,0.17,0.20,
0.28,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.24,0.17,0.20,
0.27,0.25,0.17,0.20,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.19,
0.27,0.25,0.17,0.18,
0.27,0.25,0.17,0.18,
0.27,0.26,0.17,0.18,
0.27,0.26,0.17,0.18,
0.27,0.26,0.17,0.18,
0.27,0.26,0.17,0.18,
0.26,0.26,0.17,0.18,
0.26,0.26,0.17,0.18,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.26,0.17,0.17,
0.26,0.27,0.18,0.17,
0.26,0.27,0.18,0.17,
0.26,0.27,0.18,0.16,
0.26,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.16,
0.25,0.27,0.18,0.15,
0.25,0.27,0.18,0.15,
0.24,0.28,0.18,0.15,
0.24,0.28,0.18,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.24,0.28,0.19,0.15,
0.23,0.28,0.19,0.14,
0.23,0.28,0.19,0.14,
0.23,0.28,0.19,0.14,
0.23,0.28,0.19,0.14,
0.23,0.28,0.19,0.14,
0.23,0.28,0.20,0.14,
0.23,0.28,0.20,0.14,
0.23,0.28,0.20,0.14,
0.22,0.28,0.20,0.14,
0.22,0.28,0.20,0.14,
0.22,0.29,0.20,0.14,
0.22,0.29,0.20,0.14,
0.22,0.29,0.20,0.14,
0.22,0.29,0.20,0.13,
0.22,0.29,0.20,0.13,
0.22,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.21,0.29,0.21,0.13,
0.20,0.29,0.22,0.13,
0.20,0.29,0.22,0.13,
0.20,0.29,0.22,0.13,
0.20,0.29,0.22,0.13,
0.20,0.29,0.22,0.13,
0.20,0.29,0.22,0.13,
0.19,0.29,0.22,0.13,
0.19,0.29,0.22,0.13,
0.19,0.29,0.22,0.13,
0.19,0.29,0.23,0.13,
0.19,0.29,0.23,0.13,
0.19,0.29,0.23,0.13,
0.19,0.29,0.23,0.13,
0.18,0.29,0.23,0.13,
0.18,0.29,0.23,0.13,
0.18,0.29,0.23,0.13,
0.18,0.29,0.24,0.13,
0.18,0.29,0.24,0.13,
0.18,0.29,0.24,0.13,
0.17,0.29,0.24,0.13,
0.17,0.29,0.24,0.13,
0.17,0.29,0.24,0.13,
0.17,0.29,0.24,0.13,
0.17,0.29,0.24,0.13,
0.17,0.29,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.25,0.13,
0.16,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.15,0.28,0.26,0.13,
0.14,0.28,0.26,0.13,
0.14,0.28,0.27,0.13,
0.14,0.28,0.27,0.13,
0.14,0.27,0.27,0.13,
0.14,0.27,0.27,0.13,
0.14,0.27,0.27,0.13,
0.13,0.27,0.27,0.13,
0.13,0.27,0.27,0.13,
0.13,0.27,0.28,0.13,
0.13,0.27,0.28,0.14,
0.13,0.27,0.28,0.14,
0.13,0.27,0.28,0.14,
0.13,0.27,0.28,0.14,
0.12,0.27,0.28,0.14,
0.12,0.26,0.28,0.14,
