Neuron_1,Neuron_2,Neuron_3,Neuron_4,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.71,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.70,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.70,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.69,
0.00,0.69,0.00,0.68,
0.00,0.69,0.00,0.68,
0.00,0.69,0.00,0.68,
0.00,0.69,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.68,
0.00,0.68,0.00,0.67,
0.00,0.68,0.00,0.67,
0.00,0.68,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.67,
0.00,0.67,0.00,0.66,
0.00,0.67,0.00,0.66,
0.00,0.67,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.66,
0.00,0.66,0.00,0.65,
0.00,0.66,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.65,
0.00,0.65,0.00,0.64,
0.00,0.65,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.64,
0.00,0.64,0.00,0.63,
0.00,0.64,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.63,
0.00,0.63,0.00,0.62,
0.00,0.63,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.62,
0.00,0.62,0.00,0.61,
0.00,0.62,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.61,
0.00,0.61,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.60,
0.00,0.60,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.59,
0.00,0.59,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.58,
0.00,0.58,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.57,
0.00,0.57,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.56,
0.00,0.56,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.55,
0.00,0.55,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.54,
0.00,0.54,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.53,
0.00,0.53,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.52,
0.00,0.52,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.51,
0.00,0.51,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.50,
0.00,0.50,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.49,
0.00,0.49,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.48,0.00,0.48,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.47,
0.00,0.47,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.46,0.00,0.46,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.45,0.00,0.45,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.44,
0.00,0.44,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.43,0.00,0.43,
0.00,0.42,0.00,0.42,
